task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
476	01/ff2421	163909	SUSIE_FINE_MAPPING (475)	COMPLETED	0	2022-01-12 15:20:04.154	18.2s	7.2s	69.6%	430 MB	620.1 MB	32.4 MB	6.3 KB
216	87/6dd726	163587	SUSIE_FINE_MAPPING (215)	COMPLETED	0	2022-01-12 15:16:18.500	4m 8s	3m 54s	84.1%	1.3 GB	1.6 GB	57.1 MB	7.9 KB
414	e9/8dc5a7	163822	SUSIE_FINE_MAPPING (413)	COMPLETED	0	2022-01-12 15:19:21.347	1m 6s	51.4s	74.6%	780 MB	1.1 GB	55.7 MB	6.6 KB
433	4b/272fb9	163840	SUSIE_FINE_MAPPING (432)	COMPLETED	0	2022-01-12 15:19:33.116	54s	35s	68.2%	1.2 GB	1.5 GB	65.5 MB	7.2 KB
442	03/79106f	163850	SUSIE_FINE_MAPPING (441)	COMPLETED	0	2022-01-12 15:19:38.317	49s	35.6s	28.9%	586.4 MB	903.9 MB	36.7 MB	8.8 KB
366	0a/0fc734	163771	SUSIE_FINE_MAPPING (365)	COMPLETED	0	2022-01-12 15:18:33.748	1m 58s	1m 27s	74.9%	678.6 MB	1000.6 MB	36.8 MB	7.3 KB
436	72/ec699b	163844	SUSIE_FINE_MAPPING (435)	COMPLETED	0	2022-01-12 15:19:35.499	56.3s	40.3s	71.1%	629.9 MB	949.3 MB	42.4 MB	8.9 KB
455	e4/560a39	163866	SUSIE_FINE_MAPPING (454)	COMPLETED	0	2022-01-12 15:19:48.559	43.4s	18.5s	64.7%	801.5 MB	1.1 GB	44.7 MB	6.3 KB
485	87/af6b59	163922	SUSIE_FINE_MAPPING (484)	COMPLETED	0	2022-01-12 15:20:09.086	23.1s	11.7s	64.1%	409.8 MB	730.7 MB	29.2 MB	6.2 KB
89	fe/1388bd	163365	SUSIE_FINE_MAPPING (88)	COMPLETED	0	2022-01-12 15:14:48.573	5m 48s	4m 30s	74.9%	933.3 MB	1.2 GB	41.3 MB	10.7 KB
386	66/33e23a	163792	SUSIE_FINE_MAPPING (385)	COMPLETED	0	2022-01-12 15:18:56.835	1m 40s	1m 21s	64.0%	581.1 MB	899.3 MB	41.2 MB	7.3 KB
